WITNESS_POINTS, NUMBER=1830
12.750000,12.750000,0.471239
12.750000,13.250000,0.471239
15.750000,11.750000,0.471239
15.750000,12.250000,0.471239
15.750000,12.750000,0.471239
15.750000,13.250000,0.471239
6.250000,12.500000,0.471239
6.750000,12.500000,0.471239
7.250000,12.500000,0.471239
7.750000,12.500000,0.471239
8.250000,12.500000,0.471239
8.750000,12.500000,0.471239
9.250000,12.500000,0.471239
9.750000,12.500000,0.471239
10.250000,12.500000,0.471239
10.750000,12.500000,0.471239
11.250000,12.500000,0.471239
11.750000,12.500000,0.471239
12.250000,12.500000,0.471239
12.750000,12.500000,0.471239
13.250000,12.500000,0.471239
13.750000,12.500000,0.471239
14.250000,12.500000,0.471239
14.750000,12.500000,0.471239
15.250000,12.500000,0.471239
15.750000,12.500000,0.471239
6.750000,12.500000,0.575959
6.633022,12.821394,0.575959
6.336824,12.992404,0.575959
6.000000,12.933013,0.575959
5.780154,12.671010,0.575959
5.780154,12.328990,0.575959
6.000000,12.066987,0.575959
6.336824,12.007596,0.575959
6.633022,12.178606,0.575959
6.810000,11.750000,0.575959
6.810000,12.250000,0.575959
6.810000,12.750000,0.575959
6.810000,13.250000,0.575959
7.290000,11.750000,0.575959
7.290000,12.250000,0.575959
7.290000,12.750000,0.575959
7.290000,13.250000,0.575959
7.770000,11.750000,0.575959
7.770000,12.250000,0.575959
7.770000,12.750000,0.575959
7.770000,13.250000,0.575959
8.750000,11.750000,0.575959
8.750000,12.250000,0.575959
8.750000,12.750000,0.575959
8.750000,13.250000,0.575959
9.750000,11.750000,0.575959
9.750000,12.250000,0.575959
9.750000,12.750000,0.575959
9.750000,13.250000,0.575959
10.750000,11.750000,0.575959
10.750000,12.250000,0.575959
10.750000,12.750000,0.575959
10.750000,13.250000,0.575959
12.750000,11.750000,0.575959
12.750000,12.250000,0.575959
12.750000,12.750000,0.575959
12.750000,13.250000,0.575959
15.750000,11.750000,0.575959
15.750000,12.250000,0.575959
15.750000,12.750000,0.575959
15.750000,13.250000,0.575959
6.250000,12.500000,0.575959
6.750000,12.500000,0.575959
7.250000,12.500000,0.575959
7.750000,12.500000,0.575959
8.250000,12.500000,0.575959
8.750000,12.500000,0.575959
9.250000,12.500000,0.575959
9.750000,12.500000,0.575959
10.250000,12.500000,0.575959
10.750000,12.500000,0.575959
11.250000,12.500000,0.575959
11.750000,12.500000,0.575959
12.250000,12.500000,0.575959
12.750000,12.500000,0.575959
13.250000,12.500000,0.575959
13.750000,12.500000,0.575959
14.250000,12.500000,0.575959
14.750000,12.500000,0.575959
15.250000,12.500000,0.575959
15.750000,12.500000,0.575959
6.750000,12.500000,0.680678
6.633022,12.821394,0.680678
6.336824,12.992404,0.680678
6.000000,12.933013,0.680678
5.780154,12.671010,0.680678
5.780154,12.328990,0.680678
6.000000,12.066987,0.680678
6.336824,12.007596,0.680678
6.633022,12.178606,0.680678
6.810000,11.750000,0.680678
6.810000,12.250000,0.680678
6.810000,12.750000,0.680678
6.810000,13.250000,0.680678
7.290000,11.750000,0.680678
7.290000,12.250000,0.680678
7.290000,12.750000,0.680678
7.290000,13.250000,0.680678
7.770000,11.750000,0.680678
7.770000,12.250000,0.680678
7.770000,12.750000,0.680678
7.770000,13.250000,0.680678
8.750000,11.750000,0.680678
8.750000,12.250000,0.680678
8.750000,12.750000,0.680678
8.750000,13.250000,0.680678
9.750000,11.750000,0.680678
9.750000,12.250000,0.680678
9.750000,12.750000,0.680678
9.750000,13.250000,0.680678
10.750000,11.750000,0.680678
10.750000,12.250000,0.680678
10.750000,12.750000,0.680678
10.750000,13.250000,0.680678
12.750000,11.750000,0.680678
12.750000,12.250000,0.680678
12.750000,12.750000,0.680678
12.750000,13.250000,0.680678
15.750000,11.750000,0.680678
15.750000,12.250000,0.680678
15.750000,12.750000,0.680678
15.750000,13.250000,0.680678
6.250000,12.500000,0.680678
6.750000,12.500000,0.680678
7.250000,12.500000,0.680678
7.750000,12.500000,0.680678
8.250000,12.500000,0.680678
8.750000,12.500000,0.680678
9.250000,12.500000,0.680678
9.750000,12.500000,0.680678
10.250000,12.500000,0.680678
10.750000,12.500000,0.680678
11.250000,12.500000,0.680678
11.750000,12.500000,0.680678
12.250000,12.500000,0.680678
12.750000,12.500000,0.680678
13.250000,12.500000,0.680678
13.750000,12.500000,0.680678
14.250000,12.500000,0.680678
14.750000,12.500000,0.680678
15.250000,12.500000,0.680678
15.750000,12.500000,0.680678
6.750000,12.500000,0.785398
6.633022,12.821394,0.785398
6.336824,12.992404,0.785398
6.000000,12.933013,0.785398
5.780154,12.671010,0.785398
5.780154,12.328990,0.785398
6.000000,12.066987,0.785398
6.336824,12.007596,0.785398
6.633022,12.178606,0.785398
6.810000,11.750000,0.785398
6.810000,12.250000,0.785398
6.810000,12.750000,0.785398
6.810000,13.250000,0.785398
7.290000,11.750000,0.785398
7.290000,12.250000,0.785398
7.290000,12.750000,0.785398
7.290000,13.250000,0.785398
7.770000,11.750000,0.785398
7.770000,12.250000,0.785398
7.770000,12.750000,0.785398
7.770000,13.250000,0.785398
8.750000,11.750000,0.785398
8.750000,12.250000,0.785398
8.750000,12.750000,0.785398
8.750000,13.250000,0.785398
9.750000,11.750000,0.785398
9.750000,12.250000,0.785398
9.750000,12.750000,0.785398
9.750000,13.250000,0.785398
10.750000,11.750000,0.785398
10.750000,12.250000,0.785398
10.750000,12.750000,0.785398
10.750000,13.250000,0.785398
12.750000,11.750000,0.785398
12.750000,12.250000,0.785398
12.750000,12.750000,0.785398
12.750000,13.250000,0.785398
15.750000,11.750000,0.785398
15.750000,12.250000,0.785398
15.750000,12.750000,0.785398
15.750000,13.250000,0.785398
6.250000,12.500000,0.785398
6.750000,12.500000,0.785398
7.250000,12.500000,0.785398
7.750000,12.500000,0.785398
8.250000,12.500000,0.785398
8.750000,12.500000,0.785398
9.250000,12.500000,0.785398
9.750000,12.500000,0.785398
10.250000,12.500000,0.785398
10.750000,12.500000,0.785398
11.250000,12.500000,0.785398
11.750000,12.500000,0.785398
12.250000,12.500000,0.785398
12.750000,12.500000,0.785398
13.250000,12.500000,0.785398
13.750000,12.500000,0.785398
14.250000,12.500000,0.785398
14.750000,12.500000,0.785398
15.250000,12.500000,0.785398
15.750000,12.500000,0.785398
6.750000,12.500000,0.890118
6.633022,12.821394,0.890118
6.336824,12.992404,0.890118
6.000000,12.933013,0.890118
5.780154,12.671010,0.890118
5.780154,12.328990,0.890118
6.000000,12.066987,0.890118
6.336824,12.007596,0.890118
6.633022,12.178606,0.890118
6.810000,11.750000,0.890118
6.810000,12.250000,0.890118
6.810000,12.750000,0.890118
6.810000,13.250000,0.890118
7.290000,11.750000,0.890118
7.290000,12.250000,0.890118
7.290000,12.750000,0.890118
7.290000,13.250000,0.890118
7.770000,11.750000,0.890118
7.770000,12.250000,0.890118
7.770000,12.750000,0.890118
7.770000,13.250000,0.890118
8.750000,11.750000,0.890118
8.750000,12.250000,0.890118
8.750000,12.750000,0.890118
8.750000,13.250000,0.890118
9.750000,11.750000,0.890118
9.750000,12.250000,0.890118
9.750000,12.750000,0.890118
9.750000,13.250000,0.890118
10.750000,11.750000,0.890118
10.750000,12.250000,0.890118
10.750000,12.750000,0.890118
10.750000,13.250000,0.890118
12.750000,11.750000,0.890118
12.750000,12.250000,0.890118
12.750000,12.750000,0.890118
12.750000,13.250000,0.890118
15.750000,11.750000,0.890118
15.750000,12.250000,0.890118
15.750000,12.750000,0.890118
15.750000,13.250000,0.890118
6.250000,12.500000,0.890118
6.750000,12.500000,0.890118
7.250000,12.500000,0.890118
7.750000,12.500000,0.890118
8.250000,12.500000,0.890118
8.750000,12.500000,0.890118
9.250000,12.500000,0.890118
9.750000,12.500000,0.890118
10.250000,12.500000,0.890118
10.750000,12.500000,0.890118
11.250000,12.500000,0.890118
11.750000,12.500000,0.890118
12.250000,12.500000,0.890118
12.750000,12.500000,0.890118
13.250000,12.500000,0.890118
13.750000,12.500000,0.890118
14.250000,12.500000,0.890118
14.750000,12.500000,0.890118
15.250000,12.500000,0.890118
15.750000,12.500000,0.890118
6.750000,12.500000,0.994838
6.633022,12.821394,0.994838
6.336824,12.992404,0.994838
6.000000,12.933013,0.994838
5.780154,12.671010,0.994838
5.780154,12.328990,0.994838
6.000000,12.066987,0.994838
6.336824,12.007596,0.994838
6.633022,12.178606,0.994838
6.810000,11.750000,0.994838
6.810000,12.250000,0.994838
6.810000,12.750000,0.994838
6.810000,13.250000,0.994838
7.290000,11.750000,0.994838
7.290000,12.250000,0.994838
7.290000,12.750000,0.994838
7.290000,13.250000,0.994838
