WITNESS_POINTS, NUMBER=2745
7.290000,12.750000,0.453786
7.290000,13.250000,0.453786
7.770000,11.750000,0.453786
7.770000,12.250000,0.453786
7.770000,12.750000,0.453786
7.770000,13.250000,0.453786
8.750000,11.750000,0.453786
8.750000,12.250000,0.453786
8.750000,12.750000,0.453786
8.750000,13.250000,0.453786
9.750000,11.750000,0.453786
9.750000,12.250000,0.453786
9.750000,12.750000,0.453786
9.750000,13.250000,0.453786
10.750000,11.750000,0.453786
10.750000,12.250000,0.453786
10.750000,12.750000,0.453786
10.750000,13.250000,0.453786
12.750000,11.750000,0.453786
12.750000,12.250000,0.453786
12.750000,12.750000,0.453786
12.750000,13.250000,0.453786
15.750000,11.750000,0.453786
15.750000,12.250000,0.453786
15.750000,12.750000,0.453786
15.750000,13.250000,0.453786
6.250000,12.500000,0.453786
6.750000,12.500000,0.453786
7.250000,12.500000,0.453786
7.750000,12.500000,0.453786
8.250000,12.500000,0.453786
8.750000,12.500000,0.453786
9.250000,12.500000,0.453786
9.750000,12.500000,0.453786
10.250000,12.500000,0.453786
10.750000,12.500000,0.453786
11.250000,12.500000,0.453786
11.750000,12.500000,0.453786
12.250000,12.500000,0.453786
12.750000,12.500000,0.453786
13.250000,12.500000,0.453786
13.750000,12.500000,0.453786
14.250000,12.500000,0.453786
14.750000,12.500000,0.453786
15.250000,12.500000,0.453786
15.750000,12.500000,0.453786
6.750000,12.500000,0.523599
6.633022,12.821394,0.523599
6.336824,12.992404,0.523599
6.000000,12.933013,0.523599
5.780154,12.671010,0.523599
5.780154,12.328990,0.523599
6.000000,12.066987,0.523599
6.336824,12.007596,0.523599
6.633022,12.178606,0.523599
6.810000,11.750000,0.523599
6.810000,12.250000,0.523599
6.810000,12.750000,0.523599
6.810000,13.250000,0.523599
7.290000,11.750000,0.523599
7.290000,12.250000,0.523599
7.290000,12.750000,0.523599
7.290000,13.250000,0.523599
7.770000,11.750000,0.523599
7.770000,12.250000,0.523599
7.770000,12.750000,0.523599
7.770000,13.250000,0.523599
8.750000,11.750000,0.523599
8.750000,12.250000,0.523599
8.750000,12.750000,0.523599
8.750000,13.250000,0.523599
9.750000,11.750000,0.523599
9.750000,12.250000,0.523599
9.750000,12.750000,0.523599
9.750000,13.250000,0.523599
10.750000,11.750000,0.523599
10.750000,12.250000,0.523599
10.750000,12.750000,0.523599
10.750000,13.250000,0.523599
12.750000,11.750000,0.523599
12.750000,12.250000,0.523599
12.750000,12.750000,0.523599
12.750000,13.250000,0.523599
15.750000,11.750000,0.523599
15.750000,12.250000,0.523599
15.750000,12.750000,0.523599
15.750000,13.250000,0.523599
6.250000,12.500000,0.523599
6.750000,12.500000,0.523599
7.250000,12.500000,0.523599
7.750000,12.500000,0.523599
