y,U_bar,u_prime,V_bar,v_prime,W_bar,w_prime
14.708006,17.19860679626265,3.6346809225718872,-0.0025169936746118663,0.7531139832734995,-0.8617586402972494,1.3247831693025511
15.491181,17.509679388656796,3.586411224089521,-0.0026160695104340773,0.7822530397072471,-0.8891977642810619,1.3318094961048177
16.301254,17.801161630675704,3.533128164889217,-0.0027600310554774295,0.811022095058608,-0.9174513403711243,1.3377155770456581
17.138958,18.071965981707304,3.4755782617191646,-0.003196607220002965,0.8392636734884774,-0.9458620240081694,1.3427441316595898
18.005037,18.32610545928087,3.415167300203217,-0.0034613189435275965,0.8666117992441268,-0.974305025922844,1.3474135158752165
18.900232,18.561403010065295,3.352466707094156,-0.003650657443948608,0.8930899967012305,-1.0024153681645929,1.3514298106601814
19.8253,18.783957189064573,3.289426881169578,-0.0038109545086964093,0.9186925304471021,-1.0310331584415942,1.3551448275897673
20.780987,18.9927253346708,3.225831136854725,-0.003909321480418823,0.9431500048626749,-1.0591320556754749,1.3582199260761902
21.768047,19.192001658161793,3.161873891041561,-0.003996590649360613,0.9666385951539839,-1.0863661564857967,1.3609186648595641
22.78723,19.379347358630284,3.0970535054098107,-0.0044742149702394944,0.9891096797885075,-1.1128102349339302,1.3629340319980237
23.839287,19.55743806305905,3.0324939679489185,-0.00462517256917706,1.0103193385547364,-1.1397864916323166,1.3646970539716399
24.924957,19.728560805568435,2.968959125219912,-0.004975390600916521,1.0303412145278643,-1.1659840279768503,1.3661522637447645
26.044981,19.894651198627443,2.9060199412864596,-0.004993431698578251,1.0489399066806995,-1.1912274556226072,1.3670258590742363
27.200087,20.055776269789906,2.8437694525344694,-0.00500064774862585,1.0654533689335604,-1.2159782934231085,1.3676681134146653
28.390991,20.210804442732563,2.783349250029536,-0.0051476863760806565,1.080396903146868,-1.2396959505768297,1.3674428356733548
29.618399,20.363843145409,2.7249911581210986,-0.005177690206679706,1.093359421112269,-1.2627682096468904,1.366796766567373
30.882996,20.509185091140257,2.6685618290454096,-0.005180256672894483,1.1041683883713094,-1.2826781246814056,1.3646202518474986
32.185455,20.656689277547457,2.615970030651618,-0.005366399631460477,1.1131112635944387,-1.2990679128559053,1.3614387490573407
33.52643,20.803315019365126,2.5654298187206597,-0.0054052194759162155,1.1201898082442348,-1.3139337389501957,1.3568657505126
34.906536,20.952027356831497,2.513122306053713,-0.005369572385282617,1.1238223135058236,-1.3265136938290756,1.3501850257736074
36.32638,21.09332563993645,2.47092198908805,-0.004381127791555908,1.1299681708067615,-1.340218250917691,1.3436016111801627
37.78653,21.23629693695219,2.425170451310546,-0.004374870868656613,1.1328998783567494,-1.35131284501771,1.333643287912947
39.287525,21.38086826716642,2.3806368312854245,-0.00435401518221958,1.1346647329061947,-1.3591115478588989,1.3235205307257372
40.82986,21.525136165539898,2.337096053853572,-0.003954287808398956,1.1351776626078869,-1.3664669104682532,1.3125109510977915
42.413998,21.676710765237086,2.296012043570341,-0.0034058408471173145,1.134493231198767,-1.370480602651825,1.3023881054675952
44.040363,21.828618828544716,2.254519717790146,-0.004466974586577073,1.1324484594654223,-1.3743036984715076,1.292401032623384
45.70932,21.98290847241176,2.215150753591751,-0.004281670715700042,1.1287199618079709,-1.3775381745470487,1.2828290064052037
