WITNESS_POINTS, NUMBER=453
5.000000,1.500000,1.000000
5.000000,1.500000,2.050000
5.000000,1.500000,3.000000
5.000000,2.000000,1.000000
5.000000,2.000000,2.050000
5.000000,2.000000,3.000000
5.000000,2.500000,1.000000
5.000000,2.500000,2.050000
5.000000,2.500000,3.000000
5.000000,3.000000,1.000000
5.000000,3.000000,2.050000
5.000000,3.000000,3.000000
5.000000,3.500000,1.000000
5.000000,3.500000,2.050000
5.000000,3.500000,3.000000
5.500000,0.500000,1.000000
5.500000,0.500000,2.050000
5.500000,0.500000,3.000000
5.500000,1.000000,1.000000
5.500000,1.000000,2.050000
5.500000,1.000000,3.000000
5.500000,1.500000,1.000000
5.500000,1.500000,2.050000
5.500000,1.500000,3.000000
5.500000,2.000000,1.000000
5.500000,2.000000,2.050000
5.500000,2.000000,3.000000
5.500000,2.500000,1.000000
5.500000,2.500000,2.050000
5.500000,2.500000,3.000000
5.500000,3.000000,1.000000
5.500000,3.000000,2.050000
5.500000,3.000000,3.000000
5.500000,3.500000,1.000000
5.500000,3.500000,2.050000
5.500000,3.500000,3.000000
6.000000,0.500000,1.000000
6.000000,0.500000,2.050000
6.000000,0.500000,3.000000
6.000000,1.000000,1.000000
6.000000,1.000000,2.050000
6.000000,1.000000,3.000000
6.000000,1.500000,1.000000
6.000000,1.500000,2.050000
6.000000,1.500000,3.000000
6.000000,2.000000,1.000000
6.000000,2.000000,2.050000
6.000000,2.000000,3.000000
6.000000,2.500000,1.000000
6.000000,2.500000,2.050000
6.000000,2.500000,3.000000
6.000000,3.000000,1.000000
6.000000,3.000000,2.050000
6.000000,3.000000,3.000000
6.000000,3.500000,1.000000
6.000000,3.500000,2.050000
6.000000,3.500000,3.000000
6.500000,0.500000,1.000000
6.500000,0.500000,2.050000
6.500000,0.500000,3.000000
6.500000,1.000000,1.000000
6.500000,1.000000,2.050000
6.500000,1.000000,3.000000
6.500000,1.500000,1.000000
6.500000,1.500000,2.050000
6.500000,1.500000,3.000000
6.500000,2.000000,1.000000
6.500000,2.000000,2.050000
6.500000,2.000000,3.000000
6.500000,2.500000,1.000000
6.500000,2.500000,2.050000
6.500000,2.500000,3.000000
6.500000,3.000000,1.000000
6.500000,3.000000,2.050000
6.500000,3.000000,3.000000
6.500000,3.500000,1.000000
6.500000,3.500000,2.050000
6.500000,3.500000,3.000000
1.750000,0.500000,1.000000
1.750000,0.500000,2.050000
1.750000,0.500000,3.000000
1.750000,1.000000,1.000000
1.750000,1.000000,2.050000
1.750000,1.000000,3.000000
1.750000,3.000000,1.000000
1.750000,3.000000,2.050000
1.750000,3.000000,3.000000
1.750000,3.500000,1.000000
1.750000,3.500000,2.050000
1.750000,3.500000,3.000000
2.000000,0.500000,1.000000
2.000000,0.500000,2.050000
2.000000,0.500000,3.000000
2.000000,1.000000,1.000000
2.000000,1.000000,2.050000
2.000000,1.000000,3.000000
2.000000,3.000000,1.000000
2.000000,3.000000,2.050000
2.000000,3.000000,3.000000
2.000000,3.500000,1.000000
2.000000,3.500000,2.050000
2.000000,3.500000,3.000000
2.250000,0.500000,1.000000
2.250000,0.500000,2.050000
2.250000,0.500000,3.000000
2.250000,1.000000,1.000000
2.250000,1.000000,2.050000
2.250000,1.000000,3.000000
2.250000,3.000000,1.000000
2.250000,3.000000,2.050000
2.250000,3.000000,3.000000
2.250000,3.500000,1.000000
2.250000,3.500000,2.050000
2.250000,3.500000,3.000000
2.500000,0.500000,1.000000
2.500000,0.500000,2.050000
2.500000,0.500000,3.000000
2.500000,1.000000,1.000000
2.500000,1.000000,2.050000
2.500000,1.000000,3.000000
2.500000,3.000000,1.000000
2.500000,3.000000,2.050000
2.500000,3.000000,3.000000
2.500000,3.500000,1.000000
2.500000,3.500000,2.050000
2.500000,3.500000,3.000000
END_WITNESS_POINTS
